rbailey0,ciBFnT,2014-04-25 10:26:34,2014-02-04 20:41:31
bnelson1,bxVtNuGe0D,2014-01-01 13:05:59,2014-04-19 04:21:12
kallen2,w4trxY,2014-05-22 10:37:04,2014-01-24 11:11:01
plawson3,dc4gKXs,2014-10-17 23:45:28,2013-12-23 08:42:34
nrobertson4,7oaOPgJJXXXi,2014-08-21 15:31:57,2014-06-26 20:48:17
wgomez5,0EO6AI,2014-04-13 20:13:06,2014-03-10 13:57:29
ndixon6,qOzZw2YF0Yuk,2014-02-13 17:11:48,2014-01-29 06:38:23
sanderson7,EKRBVuW7NMDX,2014-01-05 09:34:42,2013-11-07 01:36:30
sreid8,obO3ha3M,2014-03-31 21:53:50,2014-06-12 15:23:06
jfranklin9,th6UJH2GxSs,2014-08-03 15:27:06,2014-01-19 04:12:24
salexandera,5dqtZ3tZ,2014-03-24 05:07:24,2014-03-02 22:53:52
acarrollb,rizcCDkl,2014-01-20 09:22:22,2014-01-09 12:33:51
jburtonc,PdtqtdwbWf,2013-12-24 16:00:01,2013-11-15 22:46:40
fpattersond,0xAhQAl,2014-03-23 09:08:15,2014-08-05 04:47:12
gfraziere,4IMzPB7N2vt,2014-01-15 21:27:44,2013-11-06 18:50:55
pmyersf,8hHuVXCA,2014-08-27 00:40:10,2014-06-08 22:12:50
sarmstrongg,kgwsec0xFI,2013-11-27 11:58:49,2013-12-20 11:18:04
tjohnsonh,wO8RueMpsh,2013-12-03 23:36:01,2013-12-24 13:41:53
pyoungi,zoqKquYDAjRV,2014-07-31 09:27:21,2013-10-22 18:18:36
pwebbj,JwswxklXt5F,2014-09-27 03:53:13,2014-09-30 14:41:58
jrodriguezk,fAjiioYPUf5,2014-08-08 16:30:27,2014-09-19 03:31:06
bstonel,1T36Bp6Ior,2014-06-27 10:43:04,2014-02-21 17:40:07
tcooperm,bXVPCEIhiG,2014-02-15 14:57:03,2014-06-29 12:40:07
bgrahamn,lHwUaaLJZIdd,2014-04-26 03:56:41,2014-08-06 18:23:53
jbishopo,mbUKXrwn,2014-06-16 01:50:52,2014-08-27 22:36:34
kburnsp,ffuWSaKoV,2014-01-07 08:21:48,2014-07-04 21:07:01
lbarnesq,nsUIpLB,2014-01-13 17:12:13,2014-07-04 02:18:09
nharperr,itSnLrb2sVf,2014-03-26 19:56:26,2014-08-30 03:46:12
wfernandezs,edfRdG,2014-07-15 17:42:41,2013-11-21 07:50:54
aricet,x4XhwGmCMB,2014-04-14 00:28:59,2014-03-03 02:07:27
ikennedyu,w30cIjsvUl2o,2014-07-18 08:39:09,2014-09-25 14:59:49
bmendozav,mwuFjhKuE,2014-10-10 17:27:50,2014-02-19 19:10:04
cdixonw,iLhiKT,2014-01-31 23:19:13,2014-02-24 23:34:10
efordx,Ipib4n6HVIbJ,2013-10-31 09:57:58,2014-09-29 00:34:44
fpetersy,ajcCV2,2014-06-29 09:01:42,2014-06-12 18:05:15
sstanleyz,RPYG9nFEV0OA,2014-05-19 22:34:59,2014-07-23 16:19:15
chowell10,CQxUXECwNIQt,2013-11-01 21:10:38,2014-10-06 06:49:57
dbishop11,Dw2AuSzOWXr,2014-10-01 09:46:55,2014-06-10 03:44:59
cwallace12,vhhJhvemUm6,2013-11-22 03:16:47,2014-01-13 20:48:44
bmorgan13,76C7h3,2014-01-11 11:33:59,2014-08-12 21:25:35
blittle14,hiRDzg5xi,2014-09-07 02:15:31,2014-01-11 17:40:10
lharper15,6HDZEybB,2013-10-29 04:34:32,2013-11-11 19:59:13
jsmith16,mRrVO3uVLa,2014-10-11 11:22:41,2013-11-20 05:32:22
tellis17,AhhWrLrLToim,2014-05-13 06:31:02,2014-01-02 23:37:41
jwatkins18,KtcXSemxt,2013-11-10 18:59:31,2014-03-04 20:44:55
rbutler19,I2GhGru,2014-01-12 14:25:51,2014-06-06 02:11:09
nrogers1a,Lpwnl1y,2014-09-01 01:22:41,2013-11-13 19:56:30
lbanks1b,wpPSuBn,2014-08-10 17:29:37,2013-10-30 13:43:12
ggray1c,GZQrZgT5,2014-07-11 02:38:56,2014-08-31 07:23:39
kbell1d,kQ9Z0Ynb8,2014-02-07 23:28:54,2013-12-23 16:40:21
cgarcia1e,z5ZX0H,2014-07-03 11:20:23,2014-09-05 17:14:22
cfox1f,sBAWaAQE,2014-01-03 23:53:44,2014-07-10 14:03:59
breynolds1g,J8zivyTOsL,2014-04-13 13:07:54,2014-05-07 05:14:31
rnichols1h,jN6jatqQv5,2014-10-20 05:07:23,2014-07-28 14:43:19
cburns1i,eya8cCuNMBwE,2014-06-01 04:31:29,2014-08-29 20:13:45
bmitchell1j,xz7mZB,2014-03-12 19:36:57,2013-11-01 23:24:24
akelley1k,wtwIVR,2014-09-28 12:29:53,2014-05-20 13:44:09
mwebb1l,c08vP5LeC5,2014-01-27 17:29:12,2014-06-30 03:26:08
alittle1m,ImPbHb0doJ,2014-05-27 16:32:35,2013-11-06 19:13:20
klopez1n,9Wexvj2HYz,2013-11-04 23:28:03,2014-05-09 00:43:51
dbanks1o,jtYlgBAZYhea,2014-04-25 16:43:25,2014-09-03 08:51:03
jwells1p,brlP9WDvBm,2014-09-28 01:26:29,2014-04-19 04:06:11
nmartinez1q,FilGzFBE6,2014-07-18 18:24:55,2014-04-27 00:24:05
ariley1r,BNAuQr2Z,2013-11-02 19:12:10,2014-06-13 14:56:30
progers1s,QKj89pP,2013-12-14 14:22:54,2014-01-31 11:45:33
bdixon1t,Pk8zzjdZ1,2014-09-09 20:36:21,2014-06-13 09:50:06
dhamilton1u,fOUdebnAf,2014-05-11 03:19:20,2014-01-14 21:17:27
jharper1v,KP8bfpi7dIZ,2014-09-20 23:55:24,2014-03-12 14:58:48
charper1w,tXUHSSWj,2014-08-28 08:02:34,2014-10-08 17:29:16
jjohnson1x,K0MgDrIPW7,2014-06-17 02:38:08,2013-12-23 21:31:47
ndunn1y,BFZ5r6,2014-10-01 12:25:24,2014-07-10 20:07:16
clee1z,w6Byu1z,2013-11-18 21:59:49,2014-01-22 15:41:41
icrawford20,Bpam9xdV,2013-10-31 18:42:34,2014-04-10 02:22:32
hshaw21,k5phsm,2014-04-02 12:37:18,2014-09-19 03:56:47
dmills22,1KbYO8ZWO,2014-07-01 05:18:01,2014-06-02 02:35:18
jandrews23,Df8AZnpI0n,2014-10-18 22:13:30,2013-11-18 14:57:32
dgray24,0JpaOhdd589,2014-04-13 16:11:29,2014-02-10 08:11:44
mperry25,JHV9Td23rep,2014-07-16 07:18:44,2014-06-29 20:21:45
jgardner26,0mDR3v,2014-06-04 15:25:31,2014-08-16 03:06:21
krice27,Cj6ZXs,2014-06-26 01:00:08,2013-11-14 10:22:41
jsimpson28,MEyBRn8Pml,2013-11-07 05:20:31,2014-04-22 19:08:01
pflores29,VuGTlYV,2014-04-23 06:03:19,2014-08-31 19:39:21
sward2a,4tYbnKvo2xB7,2013-11-28 00:54:00,2014-08-19 15:42:55
pfoster2b,rb5MlCF0t3,2014-07-27 23:27:57,2014-07-27 06:33:45
lwallace2c,80a07aJia,2014-10-20 08:25:16,2014-06-15 04:57:48
ewheeler2d,tnSC2R8VAbX,2014-05-23 13:17:42,2014-02-22 18:15:48
lcastillo2e,FHktRliCP7,2013-12-24 11:48:12,2014-09-12 01:32:41
cthomas2f,5NZ41At,2013-10-22 04:27:49,2014-01-08 01:59:01
rnichols2g,pJ9aKklHm,2013-10-30 00:28:39,2014-06-23 12:21:55
ckim2h,2Rt8CAs93,2014-04-16 10:26:39,2013-12-08 11:04:12
rcunningham2i,cvUWOKue,2013-12-04 20:57:16,2014-03-15 04:26:07
dgilbert2j,EnOBd9t7IO,2014-03-08 20:01:27,2014-09-12 13:26:37
jbarnes2k,oRE1OZt6F,2013-11-18 13:23:01,2014-09-29 18:21:34
pray2l,tvhxtyEh6,2014-04-22 13:33:40,2014-04-08 23:10:32
dfoster2m,yehJdGvcGm,2014-02-05 19:05:52,2013-10-31 02:33:05
pjohnston2n,QOnblSP,2013-11-01 14:54:24,2014-06-16 02:13:43
dcollins2o,V3Xjos9k,2014-03-13 00:13:41,2014-01-07 21:20:12
aanderson2p,MBFRou,2014-02-08 17:06:02,2014-08-24 17:13:32
awallace2q,idJb8M,2014-08-25 23:46:07,2014-03-30 00:06:59
freyes2r,ye8sNCab7,2014-07-06 21:22:15,2013-10-23 21:26:26
